308.853, 129.495, 4.289,  4.379 False
308.709, 129.495, 4.320,  4.412 False
308.564, 129.495, 4.352,  4.445 False
308.418, 129.495, 4.383,  4.478 False
308.271, 129.496, 4.415,  4.511 False
308.123, 129.496, 4.446,  4.544 False
307.975, 129.496, 4.477,  4.577 False
307.824, 129.496, 4.508,  4.610 False
307.673, 129.496, 4.539,  4.643 False
307.521, 129.496, 4.569,  4.676 False
307.368, 129.496, 4.600,  4.709 False
307.214, 129.496, 4.632,  4.742 False
307.059, 129.496, 4.662,  4.775 False
306.903, 129.496, 4.693,  4.808 False
306.746, 129.496, 4.723,  4.841 False
306.587, 129.496, 4.754,  4.874 False
306.428, 129.496, 4.785,  4.907 False
306.268, 129.496, 4.816,  4.940 False
306.107, 129.496, 4.846,  4.973 False
305.944, 129.496, 4.877,  5.006 False
305.781, 129.496, 4.908,  5.039 False
305.617, 129.496, 4.939,  5.072 False
305.451, 129.496, 4.970,  5.105 False
305.285, 129.497, 5.001,  5.138 False
305.117, 129.497, 5.031,  5.171 False
304.949, 129.497, 5.062,  5.204 False
304.779, 129.497, 5.092,  5.237 False
304.609, 129.497, 5.123,  5.270 False
304.437, 129.497, 5.153,  5.303 False
304.265, 129.497, 5.183,  5.336 False
304.091, 129.497, 5.209,  5.369 False
303.917, 129.497, 5.229,  5.402 False
303.743, 129.497, 5.233,  5.435 False
303.569, 129.501, 5.226,  5.468 False
303.395, 129.508, 5.229,  5.501 False
303.221, 129.516, 5.245,  5.534 False
303.045, 129.525, 5.268,  5.567 False
302.869, 129.534, 5.298,  5.600 False
302.692, 129.545, 5.333,  5.633 False
302.513, 129.556, 5.373,  5.666 False
302.333, 129.567, 5.415,  5.699 False
302.152, 129.579, 5.455,  5.732 False
301.969, 129.591, 5.496,  5.765 False
301.785, 129.605, 5.536,  5.798 False
301.600, 129.619, 5.576,  5.831 False
301.414, 129.634, 5.615,  5.864 False
301.226, 129.650, 5.653,  5.897 False
301.038, 129.668, 5.687,  5.930 False
300.848, 129.689, 5.726,  5.963 False
300.657, 129.708, 5.766,  5.996 False
300.465, 129.729, 5.803,  6.029 False
300.271, 129.749, 5.840,  6.062 False
300.077, 129.769, 5.875,  6.095 False
299.881, 129.791, 5.910,  6.128 False
299.685, 129.812, 5.943,  6.161 False
299.487, 129.835, 5.977,  6.194 False
299.288, 129.858, 6.011,  6.227 False
299.088, 129.882, 6.044,  6.260 False
298.887, 129.907, 6.078,  6.293 False
298.685, 129.933, 6.111,  6.326 False
298.482, 129.958, 6.145,  6.359 False
298.279, 129.985, 6.178,  6.392 False
298.074, 130.013, 6.210,  6.425 False
297.868, 130.042, 6.243,  6.458 False
297.661, 130.071, 6.274,  6.491 False
297.453, 130.101, 6.307,  6.524 False
297.244, 130.130, 6.340,  6.557 False
297.034, 130.160, 6.372,  6.590 False
296.823, 130.190, 6.404,  6.623 False
296.611, 130.221, 6.436,  6.656 False
